P,R,F1
0.9336289826106631,0.9449810657596371,0.9392707249456849
0.9372496185115659,0.9465263605442177,0.9418651476550531
0.9368547161630966,0.9464483560090703,0.9416271008459847
0.9380383808720517,0.9481352040816328,0.943059767965488
0.9397659135250718,0.950130045351474,0.9449195611467763
0.9362646385874945,0.9480951247165533,0.9421427442633002
0.9396122416592758,0.950783276643991,0.9451647522963427
0.942192797461732,0.9513829365079366,0.9467655656175921
0.9414997830466902,0.949533163265306,0.9454994096781082
0.94129734838798,0.950599433106576,0.945925522485923
0.9418248106119587,0.9499606575963718,0.9458752395184244
0.9407593174696284,0.9506826530612245,0.9456949541762368
0.941229690616964,0.950402947845805,0.9457940768978375
0.9425719165949892,0.952048015873016,0.9472862684843938
0.9422535051805915,0.9525567460317461,0.947377113098856
0.942797636659517,0.9512558956916098,0.9470078801872237
0.9417791673702897,0.9510668934240363,0.9464002441133134
0.9421052592561278,0.9510337301587303,0.9465484403651159
0.9421223976601558,0.9510057256235829,0.9465432195459924
0.9421876108655297,0.9513348639455781,0.9467391430707828
0.9429953271451248,0.9512552154195012,0.9471072626417524
0.9436091165403602,0.9518146825396825,0.947694137994186
0.9427959634853453,0.9519138321995466,0.94733295898667
0.9433778918224149,0.9515990929705217,0.9474706588953599
0.9435120993021323,0.9520880385487527,0.9477806695984186
0.9435340316367925,0.9514280045351474,0.9474645758546929
